TIMESTAMP	TRIAL	CUSTOMER_TYPE	CUSTOMER_X	CUSTOMER_Y	SHOPKEEPER_X	SHOPKEEPER_Y	CUSTOMER_SPEAKING	CUSTOMER_SPEECH	ACTUAL CUSTOMER SPEECH	CUSTOMER_SPEECH_DURATION	SHOPKEEPER_SPEAKING	SHOPKEEPER_SPEECH	ACTUAL SHOPKEEPER SPEECH	SHOPKEEPER_SPEECH_DURATION
1435218420	132	NOVICE	8898	2197	1826	3388	SILENCE	NONE	NONE	0	SILENCE	NONE	NONE	0
1435218421	132	NOVICE	8666	2933	1824	3366	SILENCE	NONE	NONE	0	SILENCE	NONE	NONE	0
1435218422	132	NOVICE	8454	3829	1846	3397	SILENCE	NONE	NONE	0	SILENCE	NONE	NONE	0
1435218423	132	NOVICE	8366	4672	1864	3358	SILENCE	NONE	NONE	0	SILENCE	NONE	NONE	0
1435218424	132	NOVICE	8384	5323	1816	3335	SILENCE	NONE	NONE	0	SILENCE	NONE	NONE	0
1435218425	132	NOVICE	8484	5960	1821	3362	SILENCE	NONE	NONE	0	SILENCE	NONE	NONE	0
1435218426	132	NOVICE	8584	6150	1829	3348	SILENCE	NONE	NONE	0	SILENCE	NONE	NONE	0
1435218427	132	NOVICE	8588	6134	1845	3383	SILENCE	NONE	NONE	0	SILENCE	NONE	NONE	0
1435218428	132	NOVICE	8589	6171	1817	3391	SILENCE	NONE	NONE	0	SILENCE	NONE	NONE	0
1435218429	132	NOVICE	8585	6190	1846	3389	SILENCE	NONE	NONE	0	SILENCE	NONE	NONE	0
1435218430	132	NOVICE	8606	6180	1815	3372	SILENCE	NONE	NONE	0	SILENCE	NONE	NONE	0
1435218431	132	NOVICE	8591	6182	1846	3366	SILENCE	NONE	NONE	0	SILENCE	NONE	NONE	0
1435218432	132	NOVICE	8600	6181	1833	3372	SILENCE	NONE	NONE	0	SILENCE	NONE	NONE	0
1435218433	132	NOVICE	8596	6164	1837	3361	SILENCE	NONE	NONE	0	SILENCE	NONE	NONE	0
1435218434	132	NOVICE	8612	6134	1838	3367	SILENCE	NONE	NONE	0	SILENCE	NONE	NONE	0
1435218435	132	NOVICE	8203	6154	1877	3319	SILENCE	NONE	NONE	0	SILENCE	NONE	NONE	0
